Entity Name,Domain Code,Entity Keys,Table Name,Table Column
Vendor Prepayment Transactions,VPrepTransactions,VPrepTransactions_id,DW_NS_VENDOR_BILL_PREPAYMENT_LINES_F,transaction
Vendor Return Authorization Transaction Accounting Line,VendAuthTransactionAccountingLine,VendAuthTransactionAccountingLine_accountingbook,DW_NS_VENDOR_AUTH_LINES_F,accountingbook
Vendor Return Authorization Transaction Accounting Line,VendAuthTransactionAccountingLine,VendAuthTransactionAccountingLine_transaction,DW_NS_VENDOR_AUTH_LINES_F,transaction
Vendor Return Authorization Transaction Accounting Line,VendAuthTransactionAccountingLine,VendAuthTransactionAccountingLine_transactionline,DW_NS_VENDOR_AUTH_LINES_F,id
Vendor Return Authorization Transaction Line,VendAuthTransactionLine,VendAuthTransactionLine_id,DW_NS_VENDOR_AUTH_LINES_F,id
Vendor Return Authorization Transaction Line,VendAuthTransactionLine,VendAuthTransactionLine_transaction,DW_NS_VENDOR_AUTH_LINES_F,transaction
Vendor Return Authorization Transactions,VendAuthTransactions,VendAuthTransactions_id,DW_NS_VENDOR_AUTH_F,id
Vendor Return Authorization Transactions,VendAuthTransactions,VendAuthTransactions_id,DW_NS_VENDOR_AUTH_LINES_F,transaction
Vendor Return Authorization Transactions,VendAuthTransactions,VendAuthTransactions_id,DW_NS_VENDOR_AUTH_SNAPSHOT_F,id
Vsoe Sop Group Type,vsoeSopGroupType,vsoeSopGroupType_key,DW_NS_vsoeSopGroupType_D,key
Wave Order Line,waveOrderLine,waveOrderLine_line_number,DW_NS_WAVE_LINES_F,line_number
Wave Order Line,waveOrderLine,waveOrderLine_order_number,DW_NS_WAVE_LINES_F,order_number
Wave Order Line,waveOrderLine,waveOrderLine_wave,DW_NS_WAVE_LINES_F,wave
Wave Transactions,WaveTransactions,WaveTransactions_id,DW_NS_WAVE_F,id
Wave Transactions,WaveTransactions,WaveTransactions_id,DW_NS_WAVE_LINES_F,wave
Work Breakdown Structure,Wbs,Wbs_id,DW_NS_WBS_F,id
Work Breakdown Structure,Wbs,Wbs_id,DW_NS_WBS_LINES_F,id
Work Breakdown Structure Line,WbsLine,WbsLine_line_key,DW_NS_WBS_LINES_F,line_key
Work Calendar,workCalendar,workCalendar_id,DW_NS_workCalendar_D,id
Work Calendar Holiday,workCalendarHoliday,workCalendarHoliday_exceptiondate,DW_NS_workCalendarHoliday_D,exceptiondate
Work Calendar Holiday,workCalendarHoliday,workCalendarHoliday_workcalendar,DW_NS_workCalendarHoliday_D,workcalendar
Work Order Close Transaction Accounting Line,WOCloseTransactionAccountingLine,WOCloseTransactionAccountingLine_accountingbook,DW_NS_WORK_ORDER_CLOSE_LINES_F,accountingbook
Work Order Close Transaction Accounting Line,WOCloseTransactionAccountingLine,WOCloseTransactionAccountingLine_transaction,DW_NS_WORK_ORDER_CLOSE_LINES_F,transaction
Work Order Close Transaction Accounting Line,WOCloseTransactionAccountingLine,WOCloseTransactionAccountingLine_transactionline,DW_NS_WORK_ORDER_CLOSE_LINES_F,id
Work Order Close Transaction Line,WOCloseTransactionLine,WOCloseTransactionLine_id,DW_NS_WORK_ORDER_CLOSE_LINES_F,id
